family,setting,table_name,supported_entries,address_space,address_bits,prototype_only_fp32_kib,sparse_fp32_u32key_u16count_kib,sparse_fp16_u32key_u16count_kib,metadata_multiplier_vs_fp32_values,dense_fp32_with_valid_bit_kib,dense_fp16_with_valid_bit_kib,dense_fp32_over_sparse_fp32,lookup_count_per_sample,original_macs_per_sample,lookup_count_vs_original_macs,source,note
E7 subspace reconstruction,QKFormer CIFAR-100 T=1 seed42 calib128,Token/channel,2052,69632,17,8.0156,20.2900,16.2822,2.5313,280.5000,144.5000,13.8245,,,,paper/figures/data/fig5_e7_component_ablation_data.json,"Analytical proxy only: sparse rows count FP32/FP16 prototype values, one uint32 key, one uint16 support counter, and one validity bit per supported entry; excludes alignment, cache behavior, control logic, allocator overhead, address-generation cost, and measured hardware cycles."
E7 subspace reconstruction,QKFormer CIFAR-100 T=1 seed42 calib128,TC+Q/gate,6148,69632,17,24.0156,60.7900,48.7822,2.5313,280.5000,144.5000,4.6142,,,,paper/figures/data/fig5_e7_component_ablation_data.json,"Analytical proxy only: sparse rows count FP32/FP16 prototype values, one uint32 key, one uint16 support counter, and one validity bit per supported entry; excludes alignment, cache behavior, control logic, allocator overhead, address-generation cost, and measured hardware cycles."
E7 subspace reconstruction,QKFormer CIFAR-100 T=1 seed42 calib128,TC+QK,14303,69632,17,55.8711,141.4238,113.4883,2.5313,280.5000,144.5000,1.9834,,,,paper/figures/data/fig5_e7_component_ablation_data.json,"Analytical proxy only: sparse rows count FP32/FP16 prototype values, one uint32 key, one uint16 support counter, and one validity bit per supported entry; excludes alignment, cache behavior, control logic, allocator overhead, address-generation cost, and measured hardware cycles."
E7 subspace reconstruction,QKFormer CIFAR-100 T=1 seed42 calib128,Full address,19258,69632,17,75.2266,190.4180,152.8047,2.5313,280.5000,144.5000,1.4731,,,,paper/figures/data/fig5_e7_component_ablation_data.json,"Analytical proxy only: sparse rows count FP32/FP16 prototype values, one uint32 key, one uint16 support counter, and one validity bit per supported entry; excludes alignment, cache behavior, control logic, allocator overhead, address-generation cost, and measured hardware cycles."
TCSLU current replacement,QKFormer CIFAR-100 T=1,TCSLU current replacement,2048,2048,11,8.0000,20.2500,16.2500,2.5312,8.2500,4.2500,0.4074,24576,2359296,0.010417,results/tcslu_qkf_c100_t1_full_20260618_104451/summary.csv,"Analytical proxy only: sparse rows count FP32/FP16 prototype values, one uint32 key, one uint16 support counter, and one validity bit per supported entry; excludes alignment, cache behavior, control logic, allocator overhead, address-generation cost, and measured hardware cycles."
TCSLU current replacement,QKFormer CIFAR-100 T=4,TCSLU current replacement,2048,2048,11,8.0000,20.2500,16.2500,2.5312,8.2500,4.2500,0.4074,98304,9437184,0.010417,results/tcslu_qkf_c100_t4_full_20260618_104512/summary.csv,"Analytical proxy only: sparse rows count FP32/FP16 prototype values, one uint32 key, one uint16 support counter, and one validity bit per supported entry; excludes alignment, cache behavior, control logic, allocator overhead, address-generation cost, and measured hardware cycles."
TCSLU current replacement,Spikformer-4-384w CIFAR-10 T=4,learned temporal+channel boundary,92646,,,361.8984,916.0557,735.1064,2.5313,,,,,,,results/tcslu_spik_c10_t4_boundary_rerun_20260618_105951/summary.csv,"Analytical proxy only: sparse rows count FP32/FP16 prototype values, one uint32 key, one uint16 support counter, and one validity bit per supported entry; excludes alignment, cache behavior, control logic, allocator overhead, address-generation cost, and measured hardware cycles."
