label,reduction_pct,shuffled_reduction_pct,supported_entries,entry_fraction_pct,gain_retention_pct,idealized_fp32_bytes,idealized_fp32_kib
Token/channel,3.425338428736714,,2052,2.946920955882353,77.42159572341605,8208,8.015625
TC+Q/gate,3.8749349689920005,-1.890765264655329,6148,8.829273897058824,87.58365191216143,24592,24.015625
TC+QK,4.1726613879007655,-1.660045993399036,14303,20.540843290441178,94.31304666263459,57212,55.87109375
Full address,4.424267411089701,,19258,27.656824448529413,100.0,77032,75.2265625
