calibration_size,dataset,calibration_seed,num_seeds,evaluation_batches,address_reduction_pct,address_reduction_pct_std,token_channel_reduction_pct,token_channel_reduction_pct_std,shuffled_reduction_pct,candidate_background_reduction_pct,hit_rate_pct,hit_rate_pct_std,global_mse,address_mse,token_channel_mse,shuffled_mse,source_metrics
8,cifar100,"42,43,44",3,0,3.7840100560064536,0.011352782957915869,3.3257988563086274,0.005929473972394363,-20.75012231018798,0.03569347531247168,99.79818870211308,0.0035578652922650333,0.07855344117304353,0.07604238234131584,0.07623420239740836,0.09658737814457376,results/qkformer_lut_e1_recon_20260611_152044_c100_calib8_controls/metrics.json;results/qkformer_lut_e1_recon_20260611_175354_c100_calib8_seed43_controls/metrics.json;results/qkformer_lut_e1_recon_20260611_180128_c100_calib8_seed44_controls/metrics.json
32,cifar100,"42,43,44",3,0,4.267136822817791,0.007893570163353132,3.4026844169272508,0.004767144040541217,-18.02934616621972,0.035945047298920854,99.95579988684771,0.00032240928197468,0.07852517956105846,0.07560053314580391,0.07614614634031547,0.0942331259962808,results/qkformer_lut_e1_recon_20260611_152045_c100_calib32_controls/metrics.json;results/qkformer_lut_e1_recon_20260611_175354_c100_calib32_seed43_controls/metrics.json;results/qkformer_lut_e1_recon_20260611_180128_c100_calib32_seed44_controls/metrics.json
128,cifar100,"42,43,44",3,0,4.424711131170068,0.0034640993559367844,3.4246381995958672,0.0015265147113725048,-15.821562038015486,0.03564227258004915,99.9907187887401,2.9340214000055337e-05,0.07852801524304853,0.0754651963984076,0.07613040706951761,0.09198071984065159,results/qkformer_lut_e1_recon_20260611_145102_c100_stability_seed42/metrics.json;results/qkformer_lut_e1_recon_20260611_145103_c100_stability_seed43/metrics.json;results/qkformer_lut_e1_recon_20260611_145104_c100_stability_seed44/metrics.json
512,cifar100,"42,43,44",3,0,4.475160442267864,0.006733526325992788,3.4385648299849145,0.008222106896977837,-13.511681934538826,0.03554409434075265,99.99809833888175,3.4619644829333296e-05,0.07853790703856263,0.07543087219748078,0.07612943837203169,0.0897444204946224,results/qkformer_lut_e1_recon_20260611_152046_c100_calib512_controls/metrics.json;results/qkformer_lut_e1_recon_20260611_175354_c100_calib512_seed43_controls/metrics.json;results/qkformer_lut_e1_recon_20260611_180128_c100_calib512_seed44_controls/metrics.json
